# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cpu/cycles/P'
# Event count (approx.): 128780225988
#
# Overhead  Shared Object                             Symbol                                                                                                                                                                                                                                                                                       IPC   [IPC Coverage]
# ........  ........................................  ...........................................................................................................................................................................................................................................................................................  ....................
#
     7.31%  gf                                        [.] sha2::sha256::x86_sha::compress                                                                                                                                                                                                                                                          -      -            
     3.30%  gf                                        [.] ZSTD_compressBlock_doubleFast                                                                                                                                                                                                                                                            -      -            
     2.17%  [kernel.kallsyms]                         [k] kernel_init_pages                                                                                                                                                                                                                                                                        -      -            
     2.16%  libc.so.6                                 [.] 0x000000000019738e                                                                                                                                                                                                                                                                       -      -            
     2.15%  gf                                        [.] graphforge_storage::graph_construction::partition::PartitionPlan::partition_of                                                                                                                                                                                                           -      -            
     2.13%  [kernel.kallsyms]                         [k] rep_movs_alternative                                                                                                                                                                                                                                                                     -      -            
     1.93%  gf                                        [.] graphforge_storage::graph_construction::catalog::build_runtime_catalog                                                                                                                                                                                                                   -      -            
     1.66%  gf                                        [.] core::slice::sort::unstable::quicksort::quicksort                                                                                                                                                                                                                                        -      -            
     1.63%  gf                                        [.] core::slice::sort::unstable::quicksort::quicksort                                                                                                                                                                                                                                        -      -            
     1.59%  gf                                        [.] ZSTD_encodeSequences_bmi2                                                                                                                                                                                                                                                                -      -            
     1.34%  gf                                        [.] core::hash::BuildHasher::hash_one                                                                                                                                                                                                                                                        -      -            
     1.28%  gf                                        [.] <std::io::buffered::bufreader::BufReader<R> as std::io::Read>::read                                                                                                                                                                                                                      -      -            
     0.94%  gf                                        [.] <core::hash::sip::Hasher<S> as core::hash::Hasher>::write                                                                                                                                                                                                                                -      -            
     0.92%  gf                                        [.] core::slice::sort::unstable::quicksort::quicksort                                                                                                                                                                                                                                        -      -            
     0.91%  gf                                        [.] core::slice::sort::unstable::quicksort::quicksort                                                                                                                                                                                                                                        -      -            
     0.87%  gf                                        [.] parquet::arrow::arrow_writer::write_leaf                                                                                                                                                                                                                                                 -      -            
     0.87%  [kernel.kallsyms]                         [k] srso_return_thunk                                                                                                                                                                                                                                                                        -      -            
     0.86%  gf                                        [.] graphforge_api::bulk_construction::normalization::<impl graphforge_api::GraphForge>::normalize_bulk_edges                                                                                                                                                                                -      -            
     0.85%  gf                                        [.] core::slice::sort::unstable::quicksort::quicksort                                                                                                                                                                                                                                        -      -            
     0.84%  gf                                        [.] graphforge_storage::adjacency::builder::merge_keyed_runs                                                                                                                                                                                                                                 -      -            
     0.82%  [kernel.kallsyms]                         [k] vsnprintf                                                                                                                                                                                                                                                                                -      -            
     0.81%  gf                                        [.] core::slice::sort::shared::smallsort::small_sort_general                                                                                                                                                                                                                                 -      -            
     0.79%  gf                                        [.] graphforge_storage::corruption_checksum::Checksum::update                                                                                                                                                                                                                                -      -            
     0.76%  gf                                        [.] ZSTD_compressBlock_fast                                                                                                                                                                                                                                                                  -      -            
     0.74%  [kernel.kallsyms]                         [k] srso_safe_ret                                                                                                                                                                                                                                                                            -      -            
     0.67%  gf                                        [.] core::str::converts::from_utf8                                                                                                                                                                                                                                                           -      -            
     0.66%  gf                                        [.] graphforge_storage::adjacency::ShardedCsrWriter::emit                                                                                                                                                                                                                                    -      -            
     0.65%  gf                                        [.] graphforge_storage::graph_construction_encoding::encode_edges::{{closure}}                                                                                                                                                                                                               -      -            
